web-scraper-order,title_raw,price_raw,mileage_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,seller_raw,selleraddress_raw,model,price,mileage,fuel_consumption,ps,sportcar,mileage_cat,ps_cat,ps_cat2,fuel_consumption_cat,price_cat
1734007403-211,AUDI A4 Avant 2.0 TDI Design,CHF 14'900.–,118'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4 l/100 km,1A Automobile GmbH,"Landstrasse 10, 5300 Turgi",Avant 2.0 TDI Design,14900,118000,4.0,150,0,100000 - 149999,100-149,medium,3.00-3.99,10000-19999
1734007406-212,AUDI A4 2.0 TDI multitronic,CHF 14'900.–,24'000 km,Vorderradantrieb,Limousine,Diesel,143 PS (105 kW),5.7 l/100 km,Ayman's Automobile - Autoankauf & Autoverkauf,"Rietstrasse 16, 8108 Dällikon (ZH)",2.0 TDI multitronic,14900,24000,5.7,143,0,0 - 49999,100-149,medium,5.00-5.99,10000-19999
1734007410-214,AUDI A4 Avant 3.0 TDI Sport quattro tiptronic,CHF 11'900.–,282'000 km,Allrad,Kombi,Diesel,272 PS (200 kW),5.1 l/100 km,Auto-Direkt-GmbH,"Scherzerstrasse 4, 5116 Schinznach-Bad",Avant 3.0 TDI Sport quattro tiptronic,11900,282000,5.1,272,1,250000-299999,250-299,fast,5.00-5.99,10000-19999
1734007413-215,AUDI A4 Avant 35 TDI Sport S-tronic,CHF 14'900.–,154'999 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),6.6 l/100 km,Sternautomobile,"Brunnenwiesenstrasse 17, 8172 Niederglatt",Avant 35 TDI Sport S-tronic,14900,154999,6.6,150,1,150000-199999,100-149,medium,6.00-6.99,10000-19999
1734007415-216,AUDI A4 Avant 2.0 TDI multitronic,CHF 13'500.–,130'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.7 l/100 km,Garage Schwyn AG,"Allmendstrasse 24, 8427 Rorbas",Avant 2.0 TDI multitronic,13500,130000,4.7,150,0,100000 - 149999,100-149,medium,4.00-4.99,10000-19999
1734007417-217,AUDI A4 Avant 3.0 TDI quattro,CHF 17'900.–,103'000 km,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Autohandel Schuler GmbH,"Alpenblickstrasse 9a/b, 8853 Lachen",Avant 3.0 TDI quattro,17900,103000,5.9,245,0,100000 - 149999,200-249,fast,5.00-5.99,10000-19999
1734007420-218,AUDI A4 2.0 TFSI quattro S-tronic,CHF 28'900.–,69'000 km,Allrad,Limousine,Benzin,252 PS (185 kW),6.7 l/100 km,Dega Automobile,"Bergermoosstr.10, 8902 Urdorf",2.0 TFSI quattro S-tronic,28900,69000,6.7,252,1,50000 - 990000,250-299,fast,6.00-6.99,20000-29999
1734007422-219,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,CHF 21'699.–,155'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.5 l/100 km,Jure Z.,8800 Thalwil,Avant 2.0 TDI Sport quattro S-tronic,21699,155000,4.5,190,1,150000-199999,150-199,medium,4.00-4.99,20000-29999
1734007425-220,AUDI A4 Avant 2.0 TDI multitronic,CHF 10'500.–,164'000 km,Vorderradantrieb,Kombi,Diesel,177 PS (130 kW),4.9 l/100 km,Sejad A.,8500 Frauenfeld,Avant 2.0 TDI multitronic,10500,164000,4.9,177,0,150000-199999,150-199,medium,4.00-4.99,10000-19999
1734007427-221,AUDI A4 Avant 2.8 quattro Advance,CHF 8'800.–,66'500 km,Allrad,Kombi,Benzin,193 PS (142 kW),10.6 l/100 km,J. D.,8700 Küsnacht,Avant 2.8 quattro Advance,8800,66500,10.6,193,0,50000 - 990000,150-199,medium,10.00-10.99,0 - 9999
1734007430-222,AUDI A4 2.0 Tdi,CHF 7'900.–,232'000 km,Vorderradantrieb,Kombi,Diesel,120 PS (88 kW),7.1 l/100 km,Dalibor T.,8240 Thayngen,2.0 Tdi,7900,232000,7.1,120,0,200000-249999,100-149,medium,7.00-7.99,0 - 9999
1734007432-223,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,CHF 21'000.–,120'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.6 l/100 km,Lona K.,8600 Dübendorf,Avant 2.0 TDI Sport quattro S-tronic,21000,120000,4.6,190,1,100000 - 149999,150-199,medium,4.00-4.99,20000-29999
1734007434-224,AUDI A4 Avant 2.0 TDI,CHF 5'900.–,170'400 km,Vorderradantrieb,Kombi,Diesel,140 PS (103 kW),5.9 l/100 km,Faik S.,8632 Tann,Avant 2.0 TDI,5900,170400,5.9,140,0,150000-199999,100-149,medium,5.00-5.99,0 - 9999
1734007436-225,AUDI A4 Avant 1.8 TFSI multitronic,CHF 4'900.–,178'000 km,Vorderradantrieb,Kombi,Benzin,160 PS (118 kW),7.4 l/100 km,Auto Smaka GmbH,"Untere Bahnhofstrasse 31, 8340 Hinwil ZH",Avant 1.8 TFSI multitronic,4900,178000,7.4,160,0,150000-199999,150-199,medium,7.00-7.99,0 - 9999
1734007439-226,AUDI A4 Avant 3.2 FSI quattro tiptronic,CHF 6'900.–,225'975 km,Allrad,Kombi,Benzin,265 PS (195 kW),9.2 l/100 km,Bahnhofgarage Mellingen GmbH,"Obere Bahnhostrasse 16, 5507 Mellingen",Avant 3.2 FSI quattro tiptronic,6900,225975,9.2,265,0,200000-249999,250-299,fast,9.00-9.99,0 - 9999
