,selleraddress_raw
344,"Langfeldstrasse 77, 8500 Frauenfeld, 8500 Frauenfeld"
345,"Studacherstrasse 1, 5416 Kirchdorf AG"
347,8500 Frauenfeld
348,8800 Thalwil
349,"Chamerstrasse 2, 6343 Rotkreuz"
350,"Schaffhauserstrasse 150, 8400 Winterthur"
351,"Benknerstrasse 20, 8730 Uznach"
352,"Benknerstrasse 20, 8730 Uznach"
353,"Sandackerstrasse 16, 9245 Oberbüren"
354,"Grindlenstrasse 2, 8954 Geroldswil"
355,"Schaffhauserstrasse 150, 8400 Winterthur"
356,"Im Vorderasp 3, 8154 Oberglatt   ( Kanton ZH )"
357,"Im Vorderasp 3, 8154 Oberglatt   ( Kanton ZH )"
358,"Schaffhauserstrasse 150, 8400 Winterthur"
359,6330 Cham
360,6313 Menzingen
361,9200 Gossau
362,8152 Glattpark(Opfikon)
363,9565 Bussnang
364,5102 Rupperswil
365,"Nassi, 9107 Urnäsch"
366,8047 Zürich
367,8404 Winterthur
368,8005 Zürich
369,"Tösstalstrasse 6, 8360 Wallenwil"
370,"Im Vorderasp 3, 8154 Oberglatt   ( Kanton ZH )"
371,"Schaffhauserstrasse 150, 8400 Winterthur"
372,"Winkelstrasse 2, 5442 Fislisbach"
376,"Wilerstrasse 72, 9542 Münchwilen"
377,"Sandackerstrasse 16, 9245 Oberbüren"
378,"Chamerstrasse 2, 6343 Rotkreuz"
379,8909 Zwillikon
380,5722 Gränichen
381,8370 Sirnach
382,8363 Bichelsee
383,5507 Mellingen
384,8956 Killwangen
385,6331 Hünenberg
386,9200 Gossau
387,8003 Zurich
388,"Rütistrasse 41, 8634 Hombrechtikon"
389,"Aargauerstrasse 13, 6215 Beromünster"
390,"Wilerstrasse 72, 9542 Münchwilen"
391,"St. Gallerstrasse 7, 8352 Elsau"
392,"Zürcherstrasse 242, 8406 Winterthur"
393,"St. Gallerstrasse 7, 8352 Elsau"
394,"Wilerstrasse 72, 9542 Münchwilen"
395,"Schaffhauserstrasse 150, 8400 Winterthur"
396,"Stüdliackerstrasse 1, 8207 Schaffhausen"
397,"Rietstrasse 1, 8108 Dällikon"
398,"Schaffhauserstrasse 150, 8400 Winterthur"
399,"St. Gallerstrasse 106, 8404 Winterthur"
400,"Seestrasse 269, 8706 Feldmeilen"
407,"Breitenweg 2A, 8156 Oberhasli"
