original_,original_selleraddress_raw,lat,lon,formatted,name,housenumber,street,district,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
137,"Rösslimattstrasse 46, 5033 Buchs AG",47.38872995,8.08106865808141,"Rösslimattstrasse 46, 5033 Buchs (AG), Switzerland",,46,Rösslimattstrasse,Usserdorf,,AG,5033,Buchs (AG),Bezirk Aarau,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138,"Im Dörfli 25, 8706 Meilen",47.26400755,8.663978325947062,"Im Dörfli 25, 8706 Meilen, Switzerland",,25,Im Dörfli,,,,8706,Meilen,Bezirk Meilen,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
139,"Giessereistrasse 3, 8620 Wetzikon",47.326379,8.784567,"Giessereistrasse 3, 8621 Wetzikon (ZH), Switzerland",,3,Giessereistrasse,Wetzikon,Unterwetzikon,,8621,Wetzikon (ZH),Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
140,"Waldhof 7, 8585 Langrickenbach",47.5847058,9.252117563074567,"7, 8585 Langrickenbach, Switzerland",,7,,,,TG,8585,Langrickenbach,Bezirk Kreuzlingen,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
141,"Aarauerstrasse 56, 5116 Schinznach Bad",47.4428903,8.168114146377626,"Aarauerstrasse 56, 5116 Brugg, Switzerland",,56,Aarauerstrasse,,,AG,5116,Brugg,Bezirk Brugg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
142,"Sihltalstrasse 111, 8135 Langnau am Albis",47.276936,8.5501657,"Sihltalstrasse 111, 8135 Langnau am Albis, Switzerland",Sihltalstrasse,111,Sihltalstrasse,Unterrengg / Schwyzerhof,,,8135,Langnau am Albis,Bezirk Horgen,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
143,"Industrieweg 8b, 8735 St. Gallenkappel",47.2520652,8.974867,"Industrieweg 8, 8735 Eschenbach (SG), Switzerland",,8,Industrieweg,,,,8735,Eschenbach (SG),Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
144,"Riedackerstrasse 17, 8153 Rümlang (Zürich)",47.462648,8.524194,"Riedackerstrasse 17, 8153 Rümlang, Switzerland",,17,Riedackerstrasse,Rümlang,Reckenholz,,8153,Rümlang,Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
145,"industrie str 6, 8604 Volketswil",47.38166579999999,8.666540085124762,"Industriestrasse 6, 8604 Volketswil, Switzerland",,6,Industriestrasse,,,,8604,Volketswil,Bezirk Uster,Zurich,Switzerland,ch,0.5625,1,0.5625,0.5625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
146,"St. Gallerstrasse 97/99, 9200 Gossau SG",47.4167905,9.2539221,"St. Gallerstrasse, 9200 Gossau (SG), Switzerland",St. Gallerstrasse,,St. Gallerstrasse,,,,9200,Gossau (SG),Wahlkreis St. Gallen,St. Gallen,Switzerland,ch,0.8648648648648649,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
